Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Symbol,Total Unusual Items,Total Unusual Items Excluding Goodwill,Minority Interests,Special Income Charges,Gain On Sale Of Ppe,Restructuring And Mergern Acquisition,Earnings From Equity Interest,Gain On Sale Of Security,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Rent Expense Supplemental,Average Dilution Earnings,Other Special Charges,Impairment Of Capital Assets,Selling And Marketing Expense,Otherunder Preferred Stock Dividend,Amortization,Amortization Of Intangibles Income Statement,Preferred Stock Dividends,Earnings From Equity Interest Net Of Tax,General And Administrative Expense,Other Gand A,Net Income Discontinuous Operations,Gain On Sale Of Business,Write Off,Salaries And Wages,Total Other Finance Cost,Other Taxes,Provision For Doubtful Accounts,Depreciation Income Statement,Insurance And Claims,Rent And Landing Fees,Excise Taxes,Depletion Income Statement,Securities Amortization
0.0,0.136,487000000.0,348000000.0,62000000.0,750000000.0,487000000.0,425000000.0,-4000000.0,22000000.0,18000000.0,348000000.0,348000000.0,1274000000.0,384000000.0,294000000.0,293000000.0,1.18,1.19,348000000.0,348000000.0,348000000.0,348000000.0,348000000.0,55000000.0,403000000.0,23000000.0,23000000.0,-4000000.0,22000000.0,18000000.0,384000000.0,524000000.0,128000000.0,396000000.0,908000000.0,750000000.0,1658000000.0,1658000000.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.21,504000000.0,475000000.0,62000000.0,773000000.0,504000000.0,442000000.0,-5000000.0,22000000.0,17000000.0,475000000.0,475000000.0,1280000000.0,408000000.0,293000000.0,292000000.0,1.62,1.63,475000000.0,475000000.0,475000000.0,475000000.0,475000000.0,-55000000.0,420000000.0,17000000.0,17000000.0,-5000000.0,22000000.0,17000000.0,408000000.0,507000000.0,114000000.0,393000000.0,915000000.0,773000000.0,1688000000.0,1688000000.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.159,227000000.0,111000000.0,71000000.0,1014000000.0,227000000.0,156000000.0,-11000000.0,24000000.0,13000000.0,111000000.0,111000000.0,1539000000.0,133000000.0,295000000.0,294000000.0,0.38,0.38,111000000.0,111000000.0,111000000.0,111000000.0,111000000.0,21000000.0,132000000.0,10000000.0,10000000.0,-11000000.0,24000000.0,13000000.0,133000000.0,525000000.0,118000000.0,407000000.0,658000000.0,1014000000.0,1672000000.0,1672000000.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.199,472000000.0,302000000.0,71000000.0,793000000.0,472000000.0,401000000.0,-12000000.0,24000000.0,12000000.0,302000000.0,302000000.0,1334000000.0,383000000.0,297000000.0,296000000.0,1.02,1.02,302000000.0,302000000.0,302000000.0,302000000.0,302000000.0,75000000.0,377000000.0,6000000.0,6000000.0,-12000000.0,24000000.0,12000000.0,383000000.0,541000000.0,126000000.0,415000000.0,924000000.0,793000000.0,1717000000.0,1717000000.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-13403076.923077,0.055385,105000000.0,-252000000.0,161000000.0,2404000000.0,-137000000.0,-298000000.0,-27000000.0,27000000.0,,-23403076.923077,-252000000.0,2636000000.0,,179000000.0,179000000.0,-1.41,-1.41,-252000000.0,-252000000.0,-252000000.0,-307000000.0,-307000000.0,-18000000.0,-325000000.0,-261000000.0,8000000.0,-27000000.0,27000000.0,,-37000000.0,232000000.0,11000000.0,60000000.0,195000000.0,2404000000.0,2599000000.0,2599000000.0,AA,-242000000.0,-242000000.0,55000000.0,-213000000.0,-11000000.0,202000000.0,-27000000.0,-29000000.0,,161000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
26880000.0,0.21,-14000000.0,-150000000.0,163000000.0,2425000000.0,114000000.0,-49000000.0,-28000000.0,28000000.0,,-251120000.0,-150000000.0,2734000000.0,,178466610.0,178466610.0,-0.84,-0.84,-150000000.0,-150000000.0,-150000000.0,-227000000.0,-227000000.0,150000000.0,-77000000.0,90000000.0,11000000.0,-28000000.0,28000000.0,,-139000000.0,309000000.0,14000000.0,64000000.0,170000000.0,2425000000.0,2595000000.0,2595000000.0,AA,128000000.0,128000000.0,77000000.0,79000000.0,0.0,-165000000.0,-49000000.0,49000000.0,,163000000.0,163000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
-12741228.070175,0.153509,44000000.0,-168000000.0,163000000.0,2469000000.0,-39000000.0,-202000000.0,-26000000.0,26000000.0,,-97741228.070175,-168000000.0,2697000000.0,,178000000.0,178000000.0,-0.94,-0.94,-168000000.0,-168000000.0,-168000000.0,-193000000.0,-193000000.0,-35000000.0,-228000000.0,-107000000.0,16000000.0,-26000000.0,26000000.0,,-95000000.0,228000000.0,9000000.0,56000000.0,133000000.0,2469000000.0,2602000000.0,2602000000.0,AA,-83000000.0,-83000000.0,25000000.0,-21000000.0,1000000.0,22000000.0,-40000000.0,-62000000.0,163000000.0,163000000.0,163000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
1050000.0,0.21,76000000.0,-102000000.0,153000000.0,2515000000.0,81000000.0,-72000000.0,-27000000.0,27000000.0,,-105950000.0,-102000000.0,2726000000.0,,178000000.0,178000000.0,-0.57,-0.57,-102000000.0,-102000000.0,-102000000.0,-121000000.0,-121000000.0,22000000.0,-99000000.0,-30000000.0,9000000.0,-27000000.0,27000000.0,,-42000000.0,211000000.0,6000000.0,52000000.0,169000000.0,2515000000.0,2684000000.0,2684000000.0,AA,5000000.0,5000000.0,19000000.0,-25000000.0,-1000000.0,24000000.0,-44000000.0,30000000.0,153000000.0,153000000.0,153000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
-25410000.0,0.21,120000000.0,-231000000.0,153000000.0,2404000000.0,-1000000.0,-154000000.0,-26000000.0,26000000.0,,-135410000.0,-231000000.0,2621000000.0,,178000000.0,178000000.0,-1.3,-1.3,-231000000.0,-231000000.0,-231000000.0,-232000000.0,-232000000.0,52000000.0,-180000000.0,-203000000.0,13000000.0,-26000000.0,26000000.0,,49000000.0,217000000.0,10000000.0,54000000.0,266000000.0,2404000000.0,2670000000.0,2670000000.0,AA,-121000000.0,-121000000.0,1000000.0,-163000000.0,-14000000.0,149000000.0,-95000000.0,42000000.0,153000000.0,153000000.0,153000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
-17118644.067797,0.244552,154000000.0,-312000000.0,,10549000000.0,84000000.0,84000000.0,-379000000.0,497000000.0,118000000.0,-259118644.067797,-312000000.0,12493000000.0,7000000.0,655847000.0,655847000.0,-0.48,-0.48,-312000000.0,-312000000.0,-312000000.0,-312000000.0,-312000000.0,-101000000.0,-413000000.0,-111000000.0,-41000000.0,-379000000.0,497000000.0,118000000.0,77000000.0,1944000000.0,,408000000.0,2021000000.0,10549000000.0,12570000000.0,11645000000.0,AAL,-70000000.0,-70000000.0,,-70000000.0,,13000000.0,,,1536000000.0,,,1147000000.0,,57000000.0,,408000000.0,,,,,,,,,,,,,,,,,,,,
